employee,customer_and_account_no,product_name,sale_date,sale_amount,units_sold,invoice_no,invoice_frequency
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534),Chimp Glass,11/13/2012,$795219.34,956306,82547,Monthly
Ricky Bobby (ricky.bobby@korning.com),LG (LG858843),Baboon Glass,11/01/2012,$503924.24,833176,38173,Monthly
Bob Lob (bob.lob@korning.com),LG (LG858843),Chimp Glass,05/23/2012,$486241.47,423318,67080,Quarterly
Ricky Bobby (ricky.bobby@korning.com),HTC (HT925638),Chimp Glass,10/06/2012,$526268.71,480814,73230,Monthly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Orangutan Glass,11/07/2012,$949021.94,648195,57008,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Baboon Glass,10/05/2012,$544764.39,190010,31383,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Samsung (SG373953),Chimp Glass,12/26/2012,$298109.79,107745,41383,Monthly
Willie Groundskeeper (willie.groundskeeper@korning.com),HTC (HT925638),Orangutan Glass,07/20/2012,$176444.64,262159,40754,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Chimp Glass,02/02/2012,$211714.85,727631,69031,Once
Bob Lob (bob.lob@korning.com),Motorola (MT928534),Orangutan Glass,12/16/2012,$244053.15,994091,88475,Quarterly
Willie Groundskeeper (willie.groundskeeper@korning.com),Motorola (MT928534),Baboon Glass,06/01/2012,$624797.97,648982,70774,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Baboon Glass,04/30/2012,$812859.16,302392,17401,Monthly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Baboon Glass,09/04/2012,$165376.89,576636,80205,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),LG (LG858843),Chimp Glass,04/15/2012,$259109.96,446630,16919,Once
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Baboon Glass,08/30/2012,$733798.19,183107,43226,Once
Bob Lob (bob.lob@korning.com),Nokia (NK881241),Gorilla Glass,09/26/2012,$206732.18,609153,82177,Once
Bob Lob (bob.lob@korning.com),Apple (AP512452),Orangutan Glass,03/24/2012,$185593.17,402327,30005,Once
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534),Gorilla Glass,02/15/2012,$602124.03,949633,52018,Monthly
Bob Lob (bob.lob@korning.com),HTC (HT925638),Baboon Glass,02/13/2012,$245828.50,408501,56704,Monthly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Gorilla Glass,03/07/2012,$881538.06,908572,78137,Once
Willie Groundskeeper (willie.groundskeeper@korning.com),Samsung (SG373953),Chimp Glass,02/08/2012,$361979.68,182701,29634,Quarterly
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534),Gorilla Glass,02/23/2012,$719363.58,489103,53705,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),Motorola (MT928534),Gorilla Glass,04/06/2012,$817373.48,499587,69665,Monthly
Bob Lob (bob.lob@korning.com),LG (LG858843),Gorilla Glass,06/23/2012,$434746.46,322866,29517,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Orangutan Glass,11/21/2012,$825318.21,276838,49780,Once
Clancy Wiggum (clancy.wiggum@korning.com),HTC (HT925638),Baboon Glass,05/23/2012,$762090.23,172838,38539,Monthly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Gorilla Glass,08/16/2012,$420768.11,522103,24297,Monthly
Bob Lob (bob.lob@korning.com),Samsung (SG373953),Gorilla Glass,03/24/2012,$542883.97,419770,35171,Monthly
Clancy Wiggum (clancy.wiggum@korning.com),LG (LG858843),Chimp Glass,05/18/2012,$532953.07,863645,70781,Once
Ricky Bobby (ricky.bobby@korning.com),Motorola (MT928534),Orangutan Glass,03/24/2012,$985530.29,250133,17387,Quarterly
Ricky Bobby (ricky.bobby@korning.com),Nokia (NK881241),Baboon Glass,10/26/2012,$774755.38,149559,65912,Once
